"Latitude","Longitude"
34.16053,-116.89894
34.2212,-116.87334
34.22058,-116.87397
39.325734,-105.085117
39.252865,-105.118068
39.27552,-105.106767
39.385598,-105.063317
38.733576,-104.839476
34.452258,-111.378428
34.42979,-111.261416
33.86175,-110.943743
33.816588,-110.926355
33.292844,-110.830636
33.286917,-110.828686
32.75166,-110.046944
32.665,-109.869444
32.427858,-110.755714
34.461977,-112.40325
34.337027,-111.014492
34.403285,-110.828686
32.987255,-105.751901
32.965551,-105.605888
32.934518,-105.73243
32.948683,-105.720742
32.881782,-105.779748
32.830456,-105.737372
32.82298,-105.680477
32.978096,-105.732616
32.772577,-105.771126
32.675148,-105.615724
32.705544,-105.587679
35.193649,-106.405359
35.199943,-106.406607
35.214111,-106.408148
35.216533,-106.416356
35.215497,-106.422862
35.226854,-106.409457
35.229809,-106.412795
35.231174,-106.409861
35.169855,-106.375069
35.976758,-106.38483
35.894389,-106.655226
35.845643,-106.635125
35.619205,-105.731295
43.515033,-114.8011683
42.747483,-116.867198
43.0381244,-116.7031084
42.726479,-116.849909
43.455603,-114.137758
45.006383,-116.156397
44.184411,-115.975017
43.552039,-115.270556
43.722639,-115.402508
43.680913,-114.4003659
43.5032868,-114.4816289
43.7695132,-116.1113143
44.49167,-121.7
44.41389,-121.63333
44.50556,-121.575
44.5738,-121.5834
44.25861,-121.68472
42.3564,-121.2839
42.2312,-121.2028
42.6053,-121.2659
42.615,-121.1388
42.47638,-120.90972
42.3924,-120.7484
42.2873,-121.0544
42.3034,-120.8295
42.0898,-120.5854
42.0585,-120.1733
42.69444,-120.67972
42.54889,-120.54194
44.33667,-119.34367
44.15083,-119.40639
44.21889,-118.92944
43.78186,-118.78733
43.79122,-118.86664
43.97242,-119.16211
43.95833,-119.15917
43.88333,-119.25461
43.92367,-119.40054
44.68055,-119.12723
44.6795,-118.97971
44.64768,-118.69175
44.60653,-118.35874
44.55207,-119.15768
44.05524,-118.42237
44.10102,-118.48643
44.22581,-118.68208
44.20417,-118.39294
45.237,-121.48597
45.44672,-121.45119
45.11492,-121.52494
45.10372,-121.46297
44.46722,-120.26028
44.38716,-120.07559
44.36889,-120.38056
44.24667,-120.28167
44.37307,-119.72598
44.43177,-119.89331
44.31627,-119.8308
44.415,-120.585
44.06333,-120.27
44.50667,-120.71
44.52333,-120.49167
43.96678,-119.60757
43.96646,-119.52674
43.87962,-119.42663
48.63167,-119.78167
48.90667,-119.83167
48.53248,-119.83166
48.73167,-119.17528
48.98583,-118.93167
48.58778,-118.91917
48.55667,-119.13778
48.40217,-120.34944
48.39394,-120.46139
48.31217,-120.26453
48.23578,-120.23531
48.06194,-120.06722
48.64995,-120.35036
48.63611,-120.16389
48.52083,-120.1225
48.65861,-120.55528
44.88778,-119.60972
44.98667,-119.6725
44.94528,-119.04233
44.86781,-118.95074
44.91702,-118.78529
44.78527,-118.48334
45.10052,-119.13564
45.07639,-118.72083
45.26721,-118.76704
46.28835,-117.54985
46.1109,-117.25864
46.24137,-117.6908
46.2258,-117.47357
46.15556,-117.80639
46.04878,-117.45461
45.74667,-118.16861
45.93769,-117.68669
45.94639,-117.55278
45.69593,-118.08428
45.45194,-118.20972
45.59583,-118.23
45.78076,-118.04579
45.45778,-118.30556
44.9823,-118.1179
44.76706,-117.92177
44.6567,-118.0022
