Region,PlotID,NearestForest,Nearest District,PlotNo,PlotName,Type,State,StateDistrict,Township,Mod_Town,Range,Mod_Range,Section,Latitude,Longitude,Notes/Remarks
1,1,Nez_Perce_NF,Supervisors_Office,3-1,Keuterville,usfs,ID,,31,N,1,W,9,,,
1,2,Clearwater_NF,North_Fork,5-1,Johnson,usfs,ID,,37,N,3,E,9,,,
1,3,Clearwater_NF,North_Fork,5-6,Summit_Landing,usfs,ID,,38,N,5,E,35,,,
1,4,Nez_Perce_NF,Supervisors_Office,3-2,Cottonwood_Butte,usfs,ID,,32,N,1,W,33,,,
1,5,Clearwater_NF,North_Fork,5-7,Shin_Pt,usfs,ID,,39,N,7,E,16,,,
1,6,Clearwater_NF,North_Fork,5-10,Cooper,usfs,ID,,36,N,3,E,12,,,
1,7,ID_Dept._of_Lands,Craig_Mtn._Area,4-1,Lake_Waha,usfs,ID,,33,N,4,W,23,,,
1,8,Clearwater_NF,North_Fork,5-9,Skull_Cr,usfs,ID,,41,N,9,E,30,,,
1,9,Clearwater_NF,Lochsa,6-1,Canyon_Jct,usfs,ID,,34,N,7,E,5,,,
1,10,ID_Dept._of_Lands,Craig_Mtn._Area,4-6,Forest,usfs,ID,,32,N,3,W,1,,,
1,11,Clearwater_NF,North_Fork,5-8,Swanson_Cr,usfs,ID,,39,N,7,E,5,,,
1,12,Clearwater_NF,Lochsa,6-2,Fan_Cr_Saddle,usfs,ID,,34,N,6,E,36,,,
1,13,ID_Dept._of_Lands,Craig_Mtn._Area,4-5,Webb_Cr,usfs,ID,,33,N,3,W,36,,,
1,14,Clearwater_NF,North_Fork,5-2,Angle_Butte,usfs,ID,,37,N,3,E,10,,,
1,15,Nez_Perce_NF,Moose_Creek,1-1,Lodge_Pt,usfs,ID,,32,N,6,E,13,,,
1,16,ID_Dept._of_Lands,Craig_Mtn._Area,4-2,Black_Pine,usfs,ID,,33,N,4,W,35,,,
1,17,Clearwater_NF,North_Fork,5-5,Bald_Mtn,usfs,ID,,37,N,5,E,5,,,
1,18,Clearwater_NF,Kooskia,1-5,Big_Tinker,usfs,ID,,32,N,5,E,25,,,
1,19,ID_Dept._of_Lands,Craig_Mtn._Area,4-3,Junction,usfs,ID,,32,N,4,W,22,,,
1,20,Clearwater_NF,North_Fork,5-4,Bargamin_Cr,usfs,ID,,37,N,4,E,23,,,
1,21,Clearwater_NF,Kooskia,1-4,Potatoe_Hill,usfs,ID,,32,N,6,E,29,,,
1,22,ID_Dept._of_Lands,Craig_Mtn._Area,4-4,Captain_John,usfs,ID,,32,N,4,W,21,,,
1,23,Clearwater_NF,North_Fork,5-3,Grangemont,usfs,ID,,37,N,3,E,24,,,
1,24,Nez_Perce_NF,Moose_Creek,1-3,Pine_Knob,usfs,ID,,32,N,6,E,26,,,
1,25,Nez_Perce_NF,Salmon_River,2-2,Christie_Ck,usfs,ID,,26,N,1,E,6,,,
1,26,Nez_Perce_NF,Salmon_River,2-5,S_Fk_Cow_Cr,usfs,ID,,25,N,1,E,8,,,
1,27,Nez_Perce_NF,Salmon_River,2-3,Cow_Ck_Saddle,usfs,ID,,25,N,1,W,2,,,
1,28,Nez_Perce_NF,Salmon_River,2-1,Rhett_Ck,usfs,ID,,27,N,1,E,33,,,
1,29,Nez_Perce_NF,Salmon_River,2-4,Low_Saddle,usfs,ID,,25,N,1,W,10,,,
1,30,Nez_Perce_NF,Moose_Creek,1-2,Goddard,usfs,ID,,31,N,6,E,10,,,
1,31,Nez_Perce_NF,Salmon_River,,Wickiup_B,usfs,ID,,26,N,1,E,6,,,
1,32,ID_Dept._of_Lands,Craig_Mtn._Area,,Craigmont,usfs,ID,,32,N,3,W,1,,,
1,33,Clearwater_NF,Palouse,7-1,Laird_Park,usfs,ID,,42,N,3,S,36,,,
1,34,Clearwater_NF,Palouse,7-2,Little_Bald_Mtn.,usfs,ID,,42,N,2,W,4,,,
1,35,Clearwater_NF,Palouse,7-3,Little_Boulder_Cr.,usfs,ID,,40,N,1,W,28,,,
1,36,Clearwater_NF,Palouse,7-4,W.Fork_Potlatch_R.,usfs,ID,,41,N,1,W,2,,,
1,37,Clearwater_NF,Palouse,7-5,Elk_Creek_Falls,usfs,ID,,39,N,2,E,11,,,
1,38,Clearwater_NF,Palouse,7-6,Morris_Creek,usfs,ID,,40,N,2,E,3,,,
1,39,Nez_Perce_NF,Salmon_River,2-6,Springs Mtns,usfs,ID,Idaho,25,N,1,W,11,,,
1,40,Cottonwood_BLM,Cottonwood_BLM,4-7,No_Name,blm,ID,,33,N,4,W,36,,,
1,41,Clearwater_NF,Lochsa,6-3,Mud_Creek,usfs,ID,,33,N,6,E,2,,,
1,42,Clearwater_NF,North_Fork,5-11,Cook_Creek,usfs,ID,,36,N,3,E,14,,,
1,43,Clearwater_NF,North_Fork,5-12,Whiskey_Creek,usfs,ID,,36,N,3,E,17,,,
1,44,Nez_Perce_NF,Salmon_River,2-7,Crooks_Corral,usfs,ID,,26,N,1,W,25,,,
1,45,CDA_Indian_Reservation,CDA_Indian_Reservation,8-1,Rose_Creek,bia,ID,,46,N,5,W,9,,,
1,46,CDA_Indian_Reservation,CDA_Indian_Reservation,8-2,Wise_Lane,bia,ID,,45,N,5,W,9,,,
1,47,CDA_Indian_Reservation,CDA_Indian_Reservation,8-3,Old_Tensed_Road,bia,ID,,44,N,4,W,6,,,
2,1,Pike_NF,South_Platte,01,Buffalo_Creek,usfs,CO,,8,S,71,W,22,,,Not trapped since 1990
2,2,Pike_NF,South_Platte,02,Estabrook,usfs,CO,,8,S,72,W,2,,,Not trapped since 1990
2,3,Pike_NF,South_Platte,03,Wellington_Lake,usfs,CO,,8,S,71,W,30,,,Not trapped since 1990
2,4,Pike_NF,South_Platte,04,Stoney_Pass,usfs,CO,,9,S,71,W,3,,,Not trapped since 1990
2,5,Pike_NF,South_Platte,05,Sugarloaf_Peak,usfs,CO,,9,S,71,W,21,,,Not trapped since 1990
2,6,Pike_NF,South_Platte,06,Molly_Gulch_CG,usfs,CO,,9,S,71,W,33,,,Discontinued site in 2014
2,7,Pike_NF,South_Platte,07,Goose_Creek,usfs,CO,,10,S,71,W,29,,,Not trapped since 1990
2,8,Pike_NF,South_Platte,08,Wigwam,usfs,CO,,9,S,70,W,30,,,Not trapped since 1995
2,9,Pike_NF,South_Platte,09,Sixmile_Creek,usfs,CO,,9,S,70,W,6,,,Not trapped since 1990
2,10,Pike_NF,South_Platte,10,Road_550_Creek,usfs,CO,,8,S,71,W,24,,,Not trapped since 1990
2,11,Pike_NF,South_Platte,11,Spring Creek,usfs,CO,,8,S,70,W,17,,,Not trapped since 1990
2,12,Pike_NF,South_Platte,12,Spring Gulch,usfs,CO,,7,S,70,W,32,,,Not trapped since 1990
2,13,Pike_NF,South_Platte,13,Platte Canyon,usfs,CO,,8,S,70,W,1,,,Not trapped since 1990
2,14,Pike_NF,South_Platte,14,Raleigh Peak,usfs,CO,,7,S,70,W,34,,,Not trapped since 1990
