Region,PlotID,year,mean,Field1,Field2,Field3,Field4
1,1,1981,3.6,,,,
1,1,1982,2.8000000000000003,,,,
1,1,1983,0.6,,,,
1,1,1984,3.0,,,,
1,1,1985,0.4,,,,
1,1,1986,2.4,,,,
1,1,1987,0.0,,,,
1,1,1988,0.0,,,,
1,1,1989,0.0,,,,
1,1,1990,0.8,,,,
1,1,1991,0.0,,,,
1,1,1992,0.0,,,,
1,1,1993,0.0,,,,
1,1,1994,0.0,,,,
1,1,1995,0.0,,,,
1,1,1996,0.0,,,,
1,1,1997,0.0,,,,
1,1,1998,0.6,,,,
1,1,1999,1.6,,,,
1,1,2000,0.0,,,,
1,1,2010,1.2,,,,
1,1,2011,3.8,,,,
1,1,2012,0.0,,,,
1,1,2013,0.0,,,,
1,1,2014,0.0,,,,
1,1,2015,0.0,,,,
1,1,2016,0.0,,,,
1,1,2017,0.0,,,,
1,2,1981,9.6,,,,
1,2,1982,26.2,,,,
1,2,1985,0.4,,,,
1,2,1986,0.8,,,,
1,2,1987,0.0,,,,
1,2,1988,0.0,,,,
1,2,1989,0.0,,,,
1,2,1990,0.0,,,,
1,2,1991,0.0,,,,
1,2,1992,0.0,,,,
1,2,1993,0.0,,,,
1,2,1994,0.0,,,,
1,2,1995,0.0,,,,
1,2,1996,0.0,,,,
1,2,1997,0.0,,,,
1,2,1998,1.2,,,,
1,2,1999,3.0,,,,
1,2,2000,0.2,,,,
1,3,1982,2.2,,,,
1,3,1983,0.0,,,,
1,3,1984,0.0,,,,
1,3,1985,0.0,,,,
1,3,1986,4.6000000000000005,,,,
1,3,1987,0.0,,,,
1,3,1988,0.0,,,,
1,3,1989,0.0,,,,
1,3,1990,0.0,,,,
1,3,1991,0.0,,,,
1,3,1992,0.0,,,,
1,3,1993,0.2,,,,
1,3,1994,0.0,,,,
1,3,1995,0.0,,,,
1,3,1996,0.0,,,,
1,3,1997,0.0,,,,
1,3,1998,0.2,,,,
1,3,1999,0.8,,,,
1,3,2000,0.4,,,,
1,3,2010,1.2,,,,
1,3,2011,0.6,,,,
1,3,2012,0.0,,,,
1,3,2013,0.0,,,,
1,3,2014,0.0,,,,
1,3,2015,0.0,,,,
1,3,2016,0.0,,,,
1,3,2017,0.2,,,,
1,4,1981,0.0,,,,
1,4,1982,0.0,,,,
1,4,1983,0.0,,,,
1,4,1984,0.2,,,,
1,4,1985,0.0,,,,
1,4,1986,0.6,,,,
1,4,1987,0.0,,,,
1,4,1988,0.0,,,,
1,4,1989,0.0,,,,
1,4,1990,0.0,,,,
1,4,1991,0.0,,,,
1,4,1992,0.0,,,,
1,4,1993,0.0,,,,
1,4,1994,0.0,,,,
1,4,1995,0.0,,,,
1,4,1996,0.0,,,,
1,4,1997,0.0,,,,
1,4,1998,0.0,,,,
1,4,1999,0.4,,,,
1,4,2000,0.0,,,,
1,4,2010,0.2,,,,
1,4,2011,0.4,,,,
1,4,2012,0.0,,,,
1,4,2013,0.0,,,,
1,4,2014,0.0,,,,
1,4,2015,0.0,,,,
1,4,2016,0.0,,,,
1,4,2017,0.0,,,,
1,5,1982,10.4,,,,
1,5,1985,0.0,,,,
1,5,1986,0.4,,,,
1,5,1987,0.0,,,,
1,5,1988,0.0,,,,
1,5,1989,0.0,,,,
1,5,1990,0.2,,,,
1,5,1991,0.6,,,,
1,5,1992,0.0,,,,
1,5,1993,0.0,,,,
1,5,1994,0.0,,,,
1,5,1995,0.0,,,,
1,5,1996,0.0,,,,
1,5,1997,0.0,,,,
1,5,1998,5.6000000000000005,,,,
1,5,1999,3.6,,,,
1,5,2000,0.2,,,,
1,5,2010,1.0,,,,
1,5,2011,3.0,,,,
1,5,2012,0.0,,,,
1,5,2013,0.0,,,,
1,5,2014,0.0,,,,
1,5,2015,0.0,,,,
1,5,2016,0.0,,,,
1,6,1981,3.0,,,,
1,6,1982,7.2,,,,
1,6,1983,1.2,,,,
1,6,1984,0.0,,,,
1,6,1985,0.8,,,,
1,6,1986,0.4,,,,
1,6,1987,0.0,,,,
1,6,1988,0.0,,,,
1,6,1989,0.0,,,,
1,6,1990,1.0,,,,
1,6,1991,0.4,,,,
1,6,1992,0.0,,,,
1,6,1993,0.2,,,,
1,6,1994,0.0,,,,
1,6,1995,0.0,,,,
1,6,1996,0.0,,,,
1,6,1997,0.0,,,,
1,6,1998,0.8,,,,
1,6,1999,1.4000000000000001,,,,
1,6,2000,2.2,,,,
1,6,2012,0.0,,,,
1,7,1981,0.0,,,,
1,7,1982,0.8,,,,
1,7,1983,3.2,,,,
1,7,1984,0.0,,,,
1,7,1985,0.0,,,,
1,7,1986,1.2,,,,
1,7,1987,0.0,,,,
1,7,1988,0.0,,,,
1,7,1989,0.0,,,,
1,7,1990,0.0,,,,
1,7,1991,0.0,,,,
1,7,1992,0.0,,,,
1,7,1993,0.0,,,,
1,7,1994,0.0,,,,
1,7,1995,0.0,,,,
1,7,1996,0.0,,,,
1,7,1997,0.0,,,,
1,7,1998,1.4000000000000001,,,,
1,7,1999,0.8,,,,
1,7,2000,0.0,,,,
1,7,2010,0.0,,,,
1,7,2011,1.6,,,,
1,7,2012,0.0,,,,
1,7,2013,0.0,,,,
1,7,2014,0.0,,,,
1,7,2015,0.0,,,,
1,7,2016,0.0,,,,
1,7,2017,0.0,,,,
1,8,1982,20.2,,,,
1,8,1985,1.8,,,,
1,8,1986,3.2,,,,
1,8,1987,0.0,,,,
1,8,1988,0.0,,,,
1,8,1989,0.0,,,,
1,8,1991,0.8,,,,
1,8,1992,0.2,,,,
