Region,PlotID,Year,Trap1,Trap2,Trap3,Trap4,Trap5,TotalTraps,Field1,Field2,Field3,Field4,Field5
1,1,2001,4,1,3,0,3,5,,,,,
1,1,2002,0,0,0,0,0,5,,,,,
1,1,2003,0,0,0,0,0,5,,,,,
1,1,2004,0,0,0,0,0,5,,,,,
1,1,2005,0,0,0,0,0,5,,,,,
1,1,2006,0,0,0,0,0,5,,,,,
1,1,2007,0,0,0,0,0,5,,,,,
1,1,2008,0,0,0,,,3,,,,,
1,1,2009,0,0,0,1,1,5,,,,,
1,1,2010,0,0,1,4,1,5,,,,,
1,1,2011,1,4,2,7,5,5,,,,,
1,1,2012,0,0,0,0,0,5,,,,,
1,1,2013,0,0,0,0,0,5,,,,,
1,1,2014,0,0,0,,,3,,,,,
1,1,2015,0,0,0,0,0,3,,,,,
1,1,2016,0,0,0,0,0,5,,,,,
1,1,2017,0,0,0,0,0,5,,,,,
1,2,2001,1,4,6,5,4,5,,,,,
1,2,2002,1,4,11,2,6,5,,,,,
1,2,2003,0,0,0,0,0,5,,,,,
1,2,2004,0,0,0,0,0,5,,,,,
1,2,2005,0,0,0,0,0,5,,,,,
1,2,2006,0,0,0,0,0,5,,,,,
1,3,2001,3,15,5,21,29,5,,,,,
1,3,2002,0,0,0,0,0,5,,,,,
1,3,2003,0,0,0,1,0,5,,,,,
1,3,2004,0,0,0,0,0,5,,,,,
1,3,2005,0,0,0,0,0,5,,,,,
1,3,2006,0,0,0,1,2,5,,,,,
1,3,2007,0,0,1,14,1,5,,,,,
1,3,2008,0,1,0,1,3,5,,,,,
1,3,2009,1,5,1,0,2,5,,,,,
1,3,2010,0,1,0,3,2,5,,,,,
1,3,2011,0,1,1,0,1,5,,,,,
1,3,2012,0,0,0,0,0,5,,,,,
1,3,2013,0,0,0,0,0,5,,,,,
1,3,2014,0,0,0,0,0,5,,,,,
1,3,2015,0,0,0,0,0,5,,,,,
1,3,2016,0,,0,0,0,4,,,,,
1,3,2017,0,0,0,0,1,5,,,,,
1,4,2001,2,0,2,9,1,5,,,,,
1,4,2002,0,0,0,0,0,5,,,,,
1,4,2003,0,0,0,0,0,5,,,,,
1,4,2004,0,0,0,0,0,5,,,,,
1,4,2005,0,0,0,0,0,5,,,,,
1,4,2006,0,0,0,0,0,5,,,,,
1,4,2007,0,0,0,0,0,5,,,,,
1,4,2008,0,0,0,0,0,5,,,,,
1,4,2009,0,1,1,0,0,5,,,,,
1,4,2010,0,0,0,1,0,5,,,,,
1,4,2011,0,0,0,1,1,5,,,,,
1,4,2012,0,0,0,0,0,5,,,,,
1,4,2013,0,0,0,0,0,5,,,,,
1,4,2014,0,0,0,0,0,5,,,,,
1,4,2015,0,0,0,0,0,5,,,,,
1,4,2016,0,0,0,0,0,5,,,,,
1,4,2017,0,0,0,0,0,5,,,,,
1,5,2001,10,10,16,15,15,5,,,,,
1,5,2002,1,3,,1,0,4,,,,,
1,5,2003,0,0,0,0,0,5,,,,,
1,5,2004,0,0,0,0,0,5,,,,,
1,5,2005,0,0,0,0,0,5,,,,,
1,5,2006,0,0,0,0,0,5,,,,,
1,5,2007,0,0,0,0,0,5,,,,,
1,5,2008,0,0,,1,0,4,,,,,
1,5,2009,0,0,1,0,0,5,,,,,
1,5,2010,0,0,5,0,0,5,,,,,
1,5,2011,3,7,1,4,0,5,,,,,
1,5,2012,0,0,0,0,0,5,,,,,
1,5,2013,0,0,0,0,0,5,,,,,
1,5,2014,0,0,0,0,0,5,,,,,
1,5,2015,0,0,0,0,0,5,,,,,
1,5,2016,0,0,0,0,0,5,,,,,
1,5,2017,0,0,0,0,0,5,,,,,
1,6,2001,2,4,8,2,3,5,,,,,
1,6,2002,0,0,0,1,0,5,,,,,
1,6,2003,0,0,0,0,0,5,,,,,
1,6,2004,0,0,0,0,0,5,,,,,
1,6,2005,0,0,0,0,0,5,,,,,
1,6,2006,0,0,0,0,0,5,,,,,
1,6,2007,0,0,0,0,0,5,,,,,
1,6,2012,0,0,0,0,0,5,,,,,
1,7,2001,15,6,12,1,17,5,,,,,
1,7,2002,0,0,0,0,0,5,,,,,
1,7,2003,0,0,0,0,0,5,,,,,
1,7,2004,0,0,1,0,0,5,,,,,
1,7,2005,0,0,0,0,0,5,,,,,
1,7,2006,0,0,0,0,0,5,,,,,
1,7,2007,0,0,0,0,0,5,,,,,
1,7,2008,0,0,0,,,3,,,,,
1,7,2009,0,0,0,0,0,5,,,,,
1,7,2010,0,0,0,0,0,5,,,,,
1,7,2011,1,1,0,6,0,5,,,,,
1,7,2012,0,0,0,0,0,5,,,,,
1,7,2013,0,0,0,0,0,5,,,,,
1,7,2014,0,0,0,0,0,5,,,,,
1,7,2015,0,0,0,0,0,5,,,,,
1,7,2016,0,0,0,0,0,5,,,,,
1,7,2017,0,0,0,0,0,5,,,,,
1,9,2001,10,0,13,18,15,5,,,,,
1,9,2002,1,0,1,2,0,5,,,,,
1,9,2003,0,0,0,0,0,5,,,,,
1,9,2004,0,0,0,0,0,5,,,,,
1,9,2005,0,0,0,0,0,5,,,,,
